Excipient_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
92329579,522.6760000000004,1.9984000000000006,133.14000000000001,3,10,25,0,1,0.9615384615384616,36,0,0,1,0,0,0,0,6,0,0,0
133126842,216.12099999999998,-7.459799999999997,130.28,4,7,1,0,1,0.8333333333333334,14,0,0,0,0,0,0,0,1,0,0,1
24470,169.872,-0.24160000000000006,66.2,0,3,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
24462,159.60899999999998,-1.3404999999999996,80.25999999999999,0,4,0,0,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0
5959,323.13200000000006,0.9089999999999998,112.70000000000002,3,5,6,1,1,0.36363636363636365,20,0,1,0,1,0,0,0,0,0,2,0
10608,376.2750000000001,-3.990099999999998,93.4,0,5,2,2,4,0.0,27,0,0,0,0,0,0,0,0,0,0,1
12449,482.6460000000002,4.958600000000004,83.67999999999999,1,4,7,2,3,0.2962962962962963,34,0,0,0,0,0,0,0,0,0,0,0
86472,472.7540000000003,9.059960000000002,35.53,0,3,13,1,2,0.7741935483870968,34,0,0,1,0,0,0,0,2,0,0,0
6912,152.146,-2.9462999999999995,101.15,5,5,4,0,0,1.0,10,0,0,0,0,0,0,0,0,0,0,0
22477175,432.68600000000015,6.224800000000008,97.99000000000001,4,4,22,0,0,0.96,30,0,0,0,0,0,0,0,0,0,0,1
444972,116.07199999999997,-0.28819999999999985,74.6,2,2,2,0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,2
24268,84.994,-3.2351,66.2,0,3,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
6354,44.053,0.016600000000000004,12.53,0,1,0,0,1,1.0,3,0,0,0,0,0,0,0,1,1,0,0
23663626,174.131,-2.4491999999999985,49.36,0,3,1,1,1,0.125,12,0,0,1,0,0,0,0,1,0,0,0
5362585,414.67100000000016,6.704700000000009,66.76,2,4,23,0,0,0.96,29,0,0,1,0,0,0,0,1,0,0,0
26574,58.809000000000005,-3.9478,69.17999999999999,0,3,0,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0
8578,261.32800000000003,5.145820000000003,50.739999999999995,1,3,2,3,3,0.058823529411764705,20,1,0,0,0,0,0,0,0,0,0,0
161821,252.22199999999998,1.776,100.90000000000002,2,4,3,1,1,0.08333333333333333,18,0,0,1,0,0,0,0,1,0,0,2
56841623,380.836,-11.218300000000003,278.07,0,9,0,0,0,0.0,19,0,0,0,0,0,0,0,0,0,0,0
4873,74.551,-5.992,0.0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,1,0
3026,278.348,3.600400000000003,52.60000000000001,0,4,8,1,1,0.5,20,0,0,2,0,0,0,0,2,0,0,0
