API_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
464205,287.21599999999995,-0.051200000000000134,136.38000000000002,3,6,5,2,2,0.4444444444444444,19,1,0,0,0,0,0,0,1,0,0,0
493570,376.369,-1.7235599999999995,161.56,5,8,5,1,3,0.4117647058823529,27,0,1,0,0,0,0,0,0,0,0,0
637568,144.12599999999998,-0.11140000000000017,52.60000000000001,0,4,2,0,0,0.3333333333333333,10,0,0,2,0,0,0,0,2,0,0,0
656631,463.44100000000003,4.398900000000005,53.17,1,3,6,3,4,0.36363636363636365,28,0,1,0,0,0,0,0,0,0,1,0
969472,388.81500000000005,1.5679999999999996,91.75999999999999,0,7,2,2,4,0.35294117647058826,27,0,0,0,2,0,0,0,1,0,1,0
1349907,114.173,1.08269,20.72,1,1,0,1,1,0.25,7,0,1,0,0,0,0,0,0,0,0,0
1549000,388.8950000000001,3.1482000000000028,53.010000000000005,1,4,8,2,3,0.38095238095238093,27,0,0,0,0,0,0,0,1,0,1,1
2724385,780.9490000000003,2.2181000000000024,203.06,6,14,7,0,8,0.926829268292683,55,0,0,1,0,0,0,0,7,0,0,0
3000540,406.54500000000013,-0.8569999999999969,122.49000000000002,5,8,7,0,2,0.9444444444444444,27,0,1,0,1,0,0,0,1,0,0,0
3001055,314.41100000000006,1.4589999999999996,83.58,2,7,10,1,1,0.5384615384615384,21,0,2,0,0,0,0,0,0,0,0,0
3002977,513.6770000000002,5.950920000000006,63.050000000000004,1,4,8,2,5,0.6896551724137931,37,0,1,0,1,0,0,0,0,0,2,0
3014803,107.109,-1.8622,63.93000000000001,3,4,3,0,0,1.0,7,0,0,0,0,0,0,0,0,0,0,0
3033332,350.872,1.8807999999999994,83.58,2,7,10,1,1,0.5384615384615384,22,0,2,0,0,0,0,0,0,0,1,0
3033637,331.4670000000001,1.3224999999999996,83.33,2,8,10,1,1,0.5833333333333334,21,0,2,0,0,0,0,0,0,0,0,0
3033924,740.761,2.263300000000001,181.51999999999998,2,10,4,4,8,0.4444444444444444,53,0,0,0,0,0,0,0,2,0,2,2
